X,Y,FID
6.08116,52.51714,ports_harbor.1
4.622133,51.80976,ports_harbor.2
6.075495,52.64314,ports_harbor.3
4.220145,51.8823,ports_harbor.4
6.16341,52.03433,ports_harbor.5
6.03238,53.2509,ports_harbor.6
6.22091,52.13739,ports_harbor.7
31.783,41.457,ports_harbor.8
15.83239,43.7001,ports_harbor.9
53.08971,24.87291,ports_harbor.10
15.65566,43.66222,ports_harbor.11
25.36167,43.62894,ports_harbor.12
-101.5546,17.63732,ports_harbor.13
-16.269,12.5875,ports_harbor.14
14.96914,44.60165,ports_harbor.15
3.918,51.6445,ports_harbor.16
5.480288,36.67744,ports_harbor.17
113.2,21.91982,ports_harbor.18
122.2104,29.92161,ports_harbor.19
113.4844,22.58245,ports_harbor.20
76.3593,-69.35608,ports_harbor.21
120.4193,31.97519,ports_harbor.22
121.6897,29.93838,ports_harbor.23
121.1219,30.58505,ports_harbor.24
110.4657,21.18614,ports_harbor.25
118.0476,24.41093,ports_harbor.26
120.834,31.83298,ports_harbor.27
28.8941,40.98006,ports_harbor.28
4.554,52.199,ports_harbor.29
3.5595,36.804,ports_harbor.30
3.802729,51.20662,ports_harbor.31
18.569,42.45029,ports_harbor.32
5.544182,52.32803,ports_harbor.33
3.205433,51.32996,ports_harbor.34
23.64899,37.93486,ports_harbor.35
43.43187,56.65979,ports_harbor.36
18.04562,42.69412,ports_harbor.37
131.0701,42.636,ports_harbor.38
-59.0137,-34.08728,ports_harbor.39
35.11127,47.82996,ports_harbor.40
39.19066,-6.15871,ports_harbor.41
5.249682,51.81161,ports_harbor.42
20.90346,37.78039,ports_harbor.43
53.68538,24.88638,ports_harbor.44
56.27592,25.70167,ports_harbor.45
15.22143,44.12149,ports_harbor.46
4.829395,52.44507,ports_harbor.47
31.0156,46.6295,ports_harbor.48
-92.28333,19.6,ports_harbor.49
135.1061,33.95915,ports_harbor.50
35.80238,36.7765,ports_harbor.51
134.5864,33.76866,ports_harbor.52
133.2058,34.25633,ports_harbor.53
135.1679,34.03138,ports_harbor.54
13.82507,55.42204,ports_harbor.55
140.9976,37.10623,ports_harbor.56
136.5071,34.27605,ports_harbor.57
137.0877,34.77924,ports_harbor.58
132.5376,33.27106,ports_harbor.59
129.7153,28.44583,ports_harbor.60
128.4035,27.0375,ports_harbor.61
129.17,28.04411,ports_harbor.62
-12.46236,7.541785,ports_harbor.63
129.0833,35.11666,ports_harbor.64
133.2898,34.35451,ports_harbor.65
139.6885,35.29109,ports_harbor.66
139.6639,35.41215,ports_harbor.67
136.6555,34.9615,ports_harbor.68
129.8931,33.54236,ports_harbor.69
33.37084,45.18948,ports_harbor.70
28.82577,40.95596,ports_harbor.71
4.055,51.4985,ports_harbor.72
127.6708,34.74062,ports_harbor.73
-105.4464,20.48972,ports_harbor.74
57.80079,25.66772,ports_harbor.75
15.0665,48.1915,ports_harbor.76
132.4153,33.4569,ports_harbor.77
-109.5139,26.70586,ports_harbor.78
139.838,35.1316,ports_harbor.79
10.547,36.372,ports_harbor.80
39.91127,57.61977,ports_harbor.81
-1.50032,50.70712,ports_harbor.82
29.7287,40.76949,ports_harbor.83
114.2765,22.575,ports_harbor.84
121.4097,37.56646,ports_harbor.85
129.657,28.50121,ports_harbor.86
122.0694,30.6137,ports_harbor.87
109.1902,19.74924,ports_harbor.88
96.17998,16.795,ports_harbor.89
111.8054,21.66159,ports_harbor.90
38.2375,23.949,ports_harbor.91
38.0675,24.0665,ports_harbor.92
132.1287,33.95041,ports_harbor.93
134.0124,34.54803,ports_harbor.94
34.16698,44.49245,ports_harbor.95
29.2605,40.65939,ports_harbor.96
29.50559,40.71545,ports_harbor.97
-139.7428,59.55503,ports_harbor.98
138.3289,34.86473,ports_harbor.99
-12.33757,7.571852,ports_harbor.100
141.4296,44.44083,ports_harbor.101
-65.8334,18.05098,ports_harbor.102
118.9854,25.20312,ports_harbor.103
113.4023,23.03173,ports_harbor.104
113.5575,22.97707,ports_harbor.105
110.1495,20.04731,ports_harbor.106
113.5819,22.2858,ports_harbor.107
121.7392,29.57936,ports_harbor.108
118.0293,24.50318,ports_harbor.109
-87.83063,18.273,ports_harbor.110
8.575001,54.6935,ports_harbor.111
118.3372,31.36708,ports_harbor.112
114.3158,30.59441,ports_harbor.113
-132.386,56.46728,ports_harbor.114
5.631195,52.94437,ports_harbor.115
5.00146,51.81306,ports_harbor.116
4.803935,52.4968,ports_harbor.117
5.43467,52.97345,ports_harbor.118
-3.568478,54.64989,ports_harbor.119
103.5836,1.241529,ports_harbor.120
3.8175,51.5475,ports_harbor.121
13.77625,54.05064,ports_harbor.122
8.3085,49.062,ports_harbor.123
4.8839,52.08646,ports_harbor.124
18.417,54.796,ports_harbor.125
11.45,53.903,ports_harbor.126
9.3335,53.7755,ports_harbor.127
-70.98333,42.36666,ports_harbor.128
6.52231,53.33304,ports_harbor.129
4.89805,52.19737,ports_harbor.130
-77.9566,34.2257,ports_harbor.131
-75.5335,39.726,ports_harbor.132
-90,29.75,ports_harbor.133
4.438286,51.69309,ports_harbor.134
-68.928,12.1155,ports_harbor.135
4.63025,51.72256,ports_harbor.136
8.1235,53.5615,ports_harbor.137
5.339225,51.97211,ports_harbor.138
-6.036659,52.98172,ports_harbor.139
-81.12801,44.747,ports_harbor.140
137.5975,-33.0195,ports_harbor.141
1.02621,51.36358,ports_harbor.142
-148.6942,60.77752,ports_harbor.143
-3.593807,54.55091,ports_harbor.144
-86.3565,43.399,ports_harbor.145
-8.258211,51.83227,ports_harbor.146
-121.4763,45.71517,ports_harbor.147
-1.45,54.98333,ports_harbor.148
-2.453547,50.61068,ports_harbor.149
-6.463823,52.34197,ports_harbor.150
-124.109,46.907,ports_harbor.151
4.22415,52.00715,ports_harbor.152
5.96862,51.9622,ports_harbor.153
145.2285,-38.298,ports_harbor.154
6.08637,53.29173,ports_harbor.155
5.8783,51.16174,ports_harbor.156
6.601882,51.65347,ports_harbor.157
4.877725,51.80676,ports_harbor.158
5.84528,53.15,ports_harbor.159
120.8555,28.10508,ports_harbor.160
-4.8915,55.8755,ports_harbor.161
4.0045,51.518,ports_harbor.162
174.839,-41.2815,ports_harbor.163
6.080565,51.56799,ports_harbor.164
-90.86667,30.05,ports_harbor.165
109.1145,21.04,ports_harbor.166
118.5632,24.51706,ports_harbor.167
7.460868,50.4184,ports_harbor.168
141.869,-12.672,ports_harbor.169
7.597,47.595,ports_harbor.170
122.214,37.476,ports_harbor.171
5.045326,52.30925,ports_harbor.172
5.683235,51.25414,ports_harbor.173
9.6855,53.571,ports_harbor.174
-87.817,42.36,ports_harbor.175
-7.114593,52.26241,ports_harbor.176
4.946325,51.69009,ports_harbor.177
-77.01435,38.8713,ports_harbor.178
-13.41667,-73.05,ports_harbor.179
-6.259871,54.09983,ports_harbor.180
5.41008,52.87988,ports_harbor.181
4.499305,52.19704,ports_harbor.182
14.502,-22.94,ports_harbor.183
7.42311,51.62879,ports_harbor.184
4.031927,51.38155,ports_harbor.185
-1.565466,60.22648,ports_harbor.186
11.6935,58.0075,ports_harbor.187
135.1288,34.22088,ports_harbor.188
133.8201,34.46883,ports_harbor.189
-158.1965,21.44905,ports_harbor.190
136.8055,34.25272,ports_harbor.191
5.667195,51.97029,ports_harbor.192
128.662,27.39692,ports_harbor.193
140.0146,35.0349,ports_harbor.194
5.06873,51.69151,ports_harbor.195
28.5515,60.61,ports_harbor.196
29.55921,45.41769,ports_harbor.197
28.734,60.7095,ports_harbor.198
25.18844,60.21307,ports_harbor.199
107.0985,10.39457,ports_harbor.200
13.5995,45.149,ports_harbor.201
23.6,38.56667,ports_harbor.202
15.5,43.86666,ports_harbor.203
11.784,57.5735,ports_harbor.204
133.0514,42.76249,ports_harbor.205
-14.7655,65.7685,ports_harbor.206
4.356,51.886,ports_harbor.207
48.35924,55.85923,ports_harbor.208
5.9573,52.67677,ports_harbor.209
5.069525,52.4915,ports_harbor.210
19.46134,40.45955,ports_harbor.211
3.588,51.44815,ports_harbor.212
3.687185,51.46079,ports_harbor.213
5.08442,53.29636,ports_harbor.214
131.9022,43.08745,ports_harbor.215
4.353531,51.91009,ports_harbor.216
-7.594919,43.66785,ports_harbor.217
-40.31627,-20.32249,ports_harbor.218
28.44635,59.7844,ports_harbor.219
83.2873,17.69595,ports_harbor.220
16.19555,43.06316,ports_harbor.221
23.5098,58.57445,ports_harbor.222
0.4748154,40.46289,ports_harbor.223
-57.59335,-25.5357,ports_harbor.224
-8.775203,42.5977,ports_harbor.225
4.290345,39.88158,ports_harbor.226
15.63337,38.22216,ports_harbor.227
-60.32207,-33.22699,ports_harbor.228
-8.867469,41.81432,ports_harbor.229
1.733122,41.21114,ports_harbor.230
-7.415336,37.201,ports_harbor.231
-25.42948,37.71466,ports_harbor.232
-25.14942,36.94398,ports_harbor.233
73.33741,16.55566,ports_harbor.234
-8.721235,42.2415,ports_harbor.235
-60.9565,13.7205,ports_harbor.236
-61.51181,16.34337,ports_harbor.237
-75.82317,38.48494,ports_harbor.238
-62.98582,-40.8064,ports_harbor.239
34.20184,44.49985,ports_harbor.240
22.88216,43.98612,ports_harbor.241
10.24298,43.86002,ports_harbor.242
-8.833098,41.68768,ports_harbor.243
-20.272,63.445,ports_harbor.244
-7.1575,62.151,ports_harbor.245
10.9235,57.2965,ports_harbor.246
-64.85083,18.32509,ports_harbor.247
1.487483,49.09769,ports_harbor.248
70.37554,20.90188,ports_harbor.249
-79.62282,8.888252,ports_harbor.250
-96.13002,19.1989,ports_harbor.251
21.5295,57.405,ports_harbor.252
-74.47832,39.34689,ports_harbor.253
6.160455,51.37493,ports_harbor.254
-89.3517,29.26525,ports_harbor.255
12.24986,45.45057,ports_harbor.256
5.739289,52.41366,ports_harbor.257
4.62483,52.47398,ports_harbor.258
16.70783,42.96306,ports_harbor.259
9.548,55.7045,ports_harbor.260
5.53031,51.61562,ports_harbor.261
12.128,65.6785,ports_harbor.262
